id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
165897,boardgame,Kubeni,2014,1,8,20,20,20,4,2,5,0,9,0,0,0,0,0,0
165898,boardgameexpansion,Slicks: Tracks & Tricks  Expansion #2,2014,2,6,45,45,45,8,1,7,0,4,0,0,0,0,0,0
165901,boardgame,Marchia Orientalis,2014,2,5,45,45,45,10,7,5.5,0,40,0,0,8,5,1,2
165909,boardgame,Amphipolis: 424/422 av. J.-C.,2014,2,2,120,120,120,0,14,7.28571,0,73,3,2,1,4,8,2.375
165912,boardgame,Disney Pictionary,2012,2,0,30,30,30,6,0,0,0,6,0,0,0,0,0,0
165914,boardgame,Mental Blox,2013,1,10,10,10,10,5,0,0,0,1,0,0,0,0,0,0
165915,boardgame,WWI: The Tug of War,2014,2,2,20,20,20,10,2,6,0,3,0,0,2,1,1,1
165926,boardgame,Calotada Wars,2014,2,6,20,20,20,8,11,6.29091,0,22,0,0,1,5,1,1
165927,boardgame,Viva Las Vegas,2001,2,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0
165938,boardgameexpansion,Limes: Der Leuchtturm,2014,1,2,20,20,20,8,7,7.1,0,78,21,7,15,5,1,1
165941,boardgame,Operation D-Day,2014,1,1,30,30,30,10,0,0,0,2,0,1,1,1,0,0
165943,boardgameexpansion,Helios: Riese und Ballonfahrerin Erweiterung,2014,2,4,60,60,60,12,8,7.625,0,84,19,15,15,3,1,3
165946,boardgame,Green Berets: Vietnam,2015,1,1,0,0,0,0,7,7.35714,0,69,1,8,23,9,1,2
165947,boardgameexpansion,"Guns at Gettysburg Scenarios 4: Stonewall  The Battles of General T.J. Jackson, CSA",2010,2,4,180,180,180,16,1,6,0,1,0,0,0,0,0,0
165951,boardgame,Socken Pfeffern,2014,2,4,45,45,45,6,11,6.26364,0,14,1,0,4,3,1,1
165952,boardgame,Bite Night,2014,3,4,20,20,20,8,17,5.77941,0,28,1,0,2,6,0,0
165953,boardgameexpansion,Star Trek: Attack Wing  Bok's Marauder Ferengi Expansion Pack,2014,2,99,60,60,60,14,9,6,0,67,0,4,7,6,0,0
165954,boardgameexpansion,Star Trek: Attack Wing  Tal'Kir Vulcan Expansion Pack,2014,2,99,60,60,60,14,11,6.25,0,57,1,3,6,4,0,0
165955,boardgameexpansion,Star Trek: Attack Wing  Relora-Sankur Kazon Expansion Pack,2014,2,99,60,60,60,14,9,6.77778,0,54,0,4,6,3,0,0
165956,boardgameexpansion,Star Trek: Attack Wing  Prakesh Mirror Universe Expansion Pack,2014,2,99,60,60,60,14,9,7.33333,0,58,0,4,12,3,0,0
165957,boardgameexpansion,Star Trek: Attack Wing  Scout 255 Borg Expansion Pack,2014,2,99,60,60,60,14,10,6.575,0,62,0,3,8,4,0,0
165958,boardgameexpansion,Star Trek: Attack Wing  The Collective Month 3 Organized Play Borg Cube and tokens,2014,2,99,60,60,60,14,3,5.33333,0,26,2,6,6,2,0,0
165959,boardgame,Jolly Roger: The Game of Piracy & Mutiny,2015,4,10,30,30,30,12,7,6.71429,0,30,0,18,114,6,1,2
165960,boardgame,Die Ampel,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
